TSLA,VOW3.DE,HYMTF,GM
233.06666564941406,103.93719482421875,33.84000015258789,32.149696350097656
231.73333740234375,103.79953002929688,33.150001525878906,31.05718421936035
244.5433349609375,109.2373046875,33.95000076293945,32.43772506713867
250.76333618164062,115.69036102294922,34.25,32.09010696411133
234.3433380126953,112.09385681152344,30.100000381469727,30.6599063873291
233.07000732421875,112.09385681152344,34.060001373291016,31.315414428710938
237.0399932861328,110.4246597290039,34.75,31.504119873046875
238.31333923339844,108.66943359375,35.060001373291016,31.3750057220459
240.06666564941406,113.78025817871094,35.41999816894531,32.64629364013672
240.54666137695312,116.98097229003906,36.65999984741211,32.39799118041992
245.52999877929688,121.5067138671875,36.61000061035156,34.1658821105957
247.5,120.13005065917969,35.900001525878906,34.52342987060547
271.7066650390625,116.91213989257812,35.400001525878906,34.89091110229492
272.24334716796875,115.56990814208984,35.400001525878906,34.43404006958008
268.4333190917969,114.1244125366211,36.31999969482422,34.28506088256836
258.8599853515625,112.21430969238281,36.9900016784668,33.11309814453125
274.82000732421875,112.54126739501953,36.369998931884766,34.443973541259766
280.8999938964844,116.67122650146484,36.369998931884766,35.496761322021484
297.1499938964844,118.13391876220703,37.540000915527344,36.013221740722656
297.27667236328125,119.26964569091797,37.58000183105469,36.519752502441406
300.586669921875,121.76483154296875,37.58000183105469,35.88410949707031
307.39666748046875,124.31163024902344,36.20000076293945,37.05607604980469
308.6333312988281,123.55448150634766,36.72999954223633,35.98342514038086
288.1700134277344,123.41681671142578,37.13999938964844,35.81458282470703
290.42333984375,125.361328125,36.689998626708984,37.30437469482422
283.3333435058594,122.91777801513672,36.709999084472656,36.37077331542969
294.3566589355469,125.55062103271484,36.5,37.69172286987305
286.6300048828125,126.42823791503906,36.09000015258789,38.19824981689453
300.0299987792969,127.61560821533203,36.4900016784668,39.211307525634766
309.32000732421875,129.0782928466797,36.5,39.13185501098633
306.5633239746094,129.57733154296875,35.77000045776367,38.72464370727539
303.9966735839844,126.47986602783203,34.540000915527344,38.1386604309082
302.8699951171875,128.13185119628906,34.52000045776367,38.45648193359375
296.6666564941406,125.41295623779297,33.880001068115234,39.4298095703125
289.913330078125,119.94076538085938,33.7599983215332,38.287635803222656
296.4533386230469,122.17782592773438,33.900001525878906,38.297569274902344
297.0966796875,121.64437866210938,33.599998474121094,38.982872009277344
296.07000732421875,122.0745849609375,36.34000015258789,40.115116119384766
